symbol,float_shares,sector
AAPL,14569223952,
ABBV,1763989487,
ABNB,407232726,
ACHR,652903180,tech
ADBE,396231975,
AMD,1623610703,tech
AMZN,9810152194,
APP,254408383,tech
ARM,142610040,tech
AVGO,4698966810,tech
AXP,522217094,
BA,758462782,
BABA,2209759528,
BAC,6965266864,
BB,584641041,
BE,289002013,
BILI,271846102,china
BITF,,
BLNK,142806667,
BMY,2039548448,
BOIL,,
BP,10042884751,
BTBT,352619305,
BYND,16660937,
C,1672588991,
CCL,1364759472,
CHPT,23746833,
CLSK,247902952,
COIN,219736581,
CRM,793594620,
CRSP,96273974,biotech
CVNA,706345991,
DAL,649654796,
DIS,1723872402,
DKNG,452026375,
DNA,49873556,
DUOL,39959684,
F,3876421500,
FUBO,29944822,
GME,408811578,
GOOG,10879563400,
GOOGL,10879563400,
HOOD,783739008,
HUT,103022729,
INTC,4618891680,
IONQ,378201947,tech
JD,1196679233,
JMIA,94618019,tech
JPM,2643991481,
LCID,176149369,
LI,535192676,
LULU,104557041,
MARA,378217916,
META,2201758680,
MGM,181287676,
MRNA,372267505,
MSFT,7414481428,
MSTR,363654304,
MU,1125564508,
NCLH,455349036,
NFLX,4134750459,
NIO,1887781222,
NKE,1176874356,
NKLA,,
NOK,4445547757,
NVAX,142524653,biotech
NVDA,23226192000,ai
OPEN,953572567,
ORCL,1713332956,
PARA,3298488,
PFE,5692207017,
PLTR,2110414018,ai
PYPL,853518978,
QCOM,1048112448,
QS,510638629,
RBLX,643102653,
RCL,241971924,
RGTI,329032568,tech
RIOT,349140913,
RIVN,945380598,
RKLB,557321589,tech
ROKU,131033171,
RUN,221001191,
SHOP,1205662563,
SLB,1479586911,
SMCI,519093352,
SNAP,1117441976,
SOFI,1271783467,
SOUN,400969014,ai
SPCE,150868243,
SQ,,
T,6837790069,
TLRY,439967315,
TSLA,2819186930,
TSM,37844248565,tech
TTD,417831565,
U,361660684,
UAL,321951398,
UBER,2036166908,
UPST,83792371,
V,1703340898,
VZ,4148833873,
WBD,2385067720,
WFC,3015743818,
WMT,4372234260,
X,,
XOM,4103318064,
XPENG,,
Z,206194592,
ZM,260290511,
